sentence_id;sentence;label;label_class
46;Holy Trinity College of General Santos City is a school in General Santos in the Philippines.;1;EducationalInstitution
47;Phaenomenella callophorella is a species of sea snail a marine gastropod mollusk in the family Buccinidae the true whelks.;9;Animal
48;Torment (AKA Paper Gallows) is a 1950 British thriller film directed by John Guillermin and starring Dermot Walsh Rona Anderson and John Bentley.;12;Film
49;The College of Architecture (COA) at the Georgia Institute of Technology was established in 1908 as the Department of Architecture offering the first four-year course of study in architecture in the Southern United States.;1;EducationalInstitution
50;Bingo is the first solo album of the German singer Bela B. released in 2006.The song Lee Hazlewood & das erste Lied des Tages is also featured on the Lee Hazlewood album Cake or Death as The First Song of the Day.;11;Album
51;The Deju River is a tributary of the Putna River in Romania.;7;NaturalPlace
52;Oplismenus compositus (commonly known as Running Mountain Grass) is a species of perennial plant from Poaceae family that can be found throughout Asia (Pakistan China) Africa Australia South America Mexico and Hawaii.;10;Plant
53;Keith Williams (born c.1955) better known as Honey Boy is a Jamaican reggae singer best known for his recordings in the 1970s who is regarded as one of the pioneers of lovers rock.;2;Artist
54;Palaeopomacentrus orphae is an extinct genus of fish from the Ypresian epoch of Monte Bolca.;9;Animal
55;Warren's rootcollar weevil Hylobius warreni is a species of weevil that is widely distributed throughout the boreal forests of Canada.;9;Animal
56;Cinta dalam sepotong roti is a 1991 Indonesian road film directed by Garin Nugroho.;12;Film
57;Eragrostis dielsii commonly known as mallee lovegrass is a species of grass endemic to Australia.;10;Plant
58;The Swimming-Pool Library is a 1988 novel by Alan Hollinghurst.;13;WrittenWork
59;Rhytida citrina is a species of medium-sized air-breathing predatory land snail a terrestrial pulmonate gastropod mollusc in the eponymous family Rhytididae.;9;Animal
60;Michael Coorey is an Australian-born rugby league player who represented Lebanon in the 2000 World Cup.;3;Athlete
61;Lauter (Hasel) is a river of Thuringia Germany.;7;NaturalPlace
62;Iglesia de San Miguel (Villardeveyo) is a church in Asturias Spain.;6;Building
63;The Curtiss Thrush (Curtiss model 56) was a 1929 six passenger high-wing fixed undercarriage single engine cabin monoplane airliner and utility transport powered by either a Curtiss Challenger or Wright Whirlwind radial engine and built as an enlargement of the earlier Curtiss Robin.;5;MeanOfTransportation
64;Chrysomyza africana is a species of ulidiid or picture-winged fly in the genus Chrysomyza of the family Tephritidae.;9;Animal
65;The Press is the local daily paper for a substantial area of North and East Yorkshire based on the city of York.;13;WrittenWork
66;Kuimetsa is a village in Kaiu Parish Rapla County in northwestern Estonia.;8;Village
67;Udoma Udo Udoma was elected Senator for the Akwa-Ibom South constituency of Akwa-Ibom State Nigeria at the start of the Nigerian Fourth Republic running on the People's Democratic Party (PDP) platform.;4;OfficeHolder
68;Chiswick School is a secondary school with academy status located in Chiswick in the West London borough of Hounslow England in 2004 it had 1239 students including 208 Sixth Formers.;1;EducationalInstitution
69;The Bulldog Breed is a 1960 British comedy film starring Norman Wisdom and directed by Robert Asher.;12;Film
70;The Screwfly Solution is a 1977 science fiction short story by Raccoona Sheldon a pen name for psychologist Alice Sheldon who was better known by her other nom de plume James Tiptree Jr.;13;WrittenWork
71;Bangor Academy and Sixth Form College (informally Bangor Academy) is a mixed secondary school located in Bangor Co Down Northern Ireland.;1;EducationalInstitution
72;The Cumbrian Trilogy comprises three novels by Melvyn Bragg published between 1969 and 1980.The story is set predominantly in Thurston (Bragg's name for Wigton) from the 1920s to the 1970s and follows the lives of John Tallentire his son Joseph and his grandson Douglas.;13;WrittenWork
73;Lasiurus is a genus of grass in the Poaceae family.;10;Plant
74;Posing as People (2005) is a collection of three short stories by Orson Scott Card plus three plays by three different playwrights based on those stories.;13;WrittenWork
75;Boreotrophon dabneyi is a species of sea snail a marine gastropod mollusk in the family Muricidae the murex snails or rock snails.;9;Animal
76;Grevillea aspera commonly known as the rough grevillea is a shrub native to central Australia.;10;Plant
77;Sadness Will Prevail is the sixth album by Today Is the Day released on September 3 2002 through Relapse Records.;11;Album
78;Agata and the Storm (Italian: Agata e la tempesta) is a 2004 Italian comedy film directed by Silvio Soldini.;12;Film
79;In taxonomy the Characiochloridaceae are a family of algae specifically of the Chlamydomonadales.;10;Plant
80;Charonia variegata common name the Atlantic triton is a species of predatory sea snail a marine gastropod mollusk in the family Ranellidae the triton snails triton shells or tritons.;9;Animal
81;John Roger Boas is a San Francisco businessman and politician long prominent in the Democratic Party in northern California.;4;OfficeHolder
82;Riven is a 2013 album from UK singer-songwriter Nick Harper.;11;Album
83;CSS Columbia was an ironclad steamer ram in the Confederate States Navy and later in the United States Navy.;5;MeanOfTransportation
84;Una Viuda descocada is a 1980 Argentine film.;12;Film
85;Show of Evil is a 1995 novel by William Diehl the sequel to Primal Fear.;13;WrittenWork
86;Stachycephalum is a genus of flowering plants in the daisy family.;10;Plant
87;Acrobits is a privately owned software development company creating VoIP Clients for mobile platforms based in Prague Czech Republic.;0;Company
88;Splendrillia woodringi is a species of sea snail a marine gastropod mollusk in the family Drilliidae.;9;Animal
89;Baroness Annetta Radovska or Annetta Borgna Radovska (Milan 19th century) was a 19th-century woman painter in Lombardy mainly depicting lively genre subjects.;2;Artist
90;Owen Benjamin (born May 24 1980) is a comedian and actor from Oswego New York.;2;Artist
91;Bulbophyllum hirsutiusculum is a species of orchid in the genus Bulbophyllum.;10;Plant
92;Mount Farrell is a mountain over 2600 metres (8500 ft) high rising just northwest of Dater Glacier and about 13 nautical miles (24 km) east of Mount Shear in the Sullivan Heights on the east side of Sentinel Range in the Ellsworth Mountains Antarctica.;7;NaturalPlace
93;Brian Joseph Friel (born March 1943) is a Scottish folk country and rock singer-songwriter and guitarist.;2;Artist
94;Orlando is a French record label owned by Bruno Gigliotti also known as Orlando.;0;Company
95;Tenagodus ponderosus is a species of sea snail a marine gastropod mollusk in the family Siliquariidae.;9;Animal
96;Evidon is a New York City-based technology company that gives brands publishers ad networks and other businesses insight into the digital ecosystem as well as provides tools for consumers to see what companies are tracking them and gain control over that tracking.;0;Company
97;Christopher Ludwig Eisgruber (born September 24 1961) is the 20th and current President of Princeton University.;4;OfficeHolder
98;Royal Roads University Bangladesh Campus is an international branch campus of Royal Roads University located in Dhaka Bangladesh.;1;EducationalInstitution
99;Favartia paulboschi is a species of sea snail a marine gastropod mollusk in the family Muricidae the murex snails or rock snails.;9;Animal
100;Tridentarius dentatus common name : the Toothed Conch is a species of sea snail a marine gastropod mollusk in the family Strombidae the true conchs.;9;Animal
101;Miantonota is a genus of moth in the family Geometridae.;9;Animal
102;Camptacra is a genus of flowering plants in the daisy family Asteraceae.;10;Plant
103;The General Post Office in St. Martin's Le Grand (later known as GPO East) was the main post office for London between 1829 and 1912 the headquarters of the General Post Office of the United Kingdom of Great Britain and Ireland and the country's first purpose-built post office.;6;Building
104;John Murrell OC AOE (born October 15 1945) is an American-born Canadian playwright.;2;Artist
105;Claycord.com News & Talk is an independent news blog.;0;Company
106;Yesspeak is a film chronicling the then current lineup of the progressive rock group Yes (featuring Jon Anderson Steve Howe Rick Wakeman Chris Squire and Alan White) directed by Robert Garofalo and narrated by Roger Daltrey.;11;Album
107;Craspediopsis is a genus of moth in the family Geometridae.;9;Animal
108;Paulet High School is a high school in Stapenhill Burton on Trent Staffordshire.;1;EducationalInstitution
109;Monte Hodges is an American politician and a Democratic member of the Arkansas House of Representatives representing District 55 since January 14 2013.;4;OfficeHolder
110;Pacific High School is a high school operated by the New York City Board of Education and is located in Brooklyn New York.;1;EducationalInstitution
111;Cyphocottus is a genus of deepwater sculpins endemic to Lake Baikal in Russia.;9;Animal
112;St. Mary's Catholic High School is a Roman Catholic high school in Woodstock Ontario Canada.;1;EducationalInstitution
113;The Grumman JF Duck was a single-engine amphibious biplane built by Grumman for the United States Navy during the 1930s.;5;MeanOfTransportation
114;The Beatles is the ninth studio album by English rock group the Beatles a double album released on 22 November 1968.;11;Album
115;The Wild DoubleEnder is an American twin engine utility aircraft designed for bush flying and also to minimize risk from engine failure and subsequent adverse yaw.;5;MeanOfTransportation
116;Everything You Touch Turns To Gold is an Acoustic EP of new music released by Logan Lynn on December 6 2011.;11;Album
117;The Lewis G. Kline House located in Corvallis Oregon is a house listed on the National Register of Historic Places.;6;Building
118;Nowendoc River a perennial river of the Manning River catchment is located in the Northern Tablelands and Mid North Coast districts of New South Wales Australia.;7;NaturalPlace
119;Rise of a Hero is the 2005 fantasy novel which comprises the second book in the Farsala Trilogy by Hilari Bell.;13;WrittenWork
120;Vellereophyton is a genus of flowering plants in the daisy family Asteraceae.;10;Plant
121;Nanomelon is a genus of sea snails marine gastropod mollusks in the family Volutidae.;9;Animal
122;Pixomondo is an international visual effects company with a global network of studios in Frankfurt Munich Stuttgart Los Angeles Beijing Toronto and Baton Rouge.;0;Company
123;Akwei Ransford Addo (born 21 July 1983 in Accra) is a football player from Ghana who currently plays for Shanghai East Asia in the Chinese Super League.;3;Athlete
124;Brittany Ferries is a French ferry company that runs ships between France the UK Ireland and Spain.;0;Company
125;The Bittern class sloop was a three ship class of long-range escort vessels used in the Second World War by the Royal Navy.;5;MeanOfTransportation
126;Stamford High School is an English girls' Independent School situated in the market town of Stamford Lincolnshire England situated on High Street St Martins.;1;EducationalInstitution
127;Machachus is a genus of skippers in the family Hesperiidae.;9;Animal
128;Pisidium hibernicum is a species of freshwater bivalve from family Sphaeriidae.;9;Animal
129;Daniele Ficagna (born 21 February 1981 in Piombino Italy) is an Italian football defender who is currently at Virtus Lanciano.;3;Athlete
130;Islam at the Crossroads is a book written by Muhammad Asad.;13;WrittenWork
131;EML Kalev (M414) was a Frauenlob-class minesweeper of the Estonian Navy and belonged into the Estonian Navy Mineships Division.;5;MeanOfTransportation
132;Auro University has been established under Gujarat Private Universities Act 2009 as a State Private University at Surat Gujarat under Hasmukh P Rama (Chancellor Auro University and CEO of JHM Hotels USA).The University is currently offering BCom BCA BSc-IT BSc Hospitality Management BSc Culinary Art BBA Tourism Management BBA-LLB MBA(Full Time / Part Time) programmes at Surat under Kamlesh Misra as its founder and Vice-Chancellor.;1;EducationalInstitution
133;Portea petropolitana is a plant species of Portea in the botanical family Bromeliaceae that is endemic to Brazil.;10;Plant
134;Lake Carroll is a reservoir in Carroll County Illinois located north of Lanark.;7;NaturalPlace
135;Diane J. Humetewa (pronounced hoo-MEE-tee-wah) was the United States Attorney for the District of Arizona serving in that position from December 2007 to August 2009 and currently has been nominated to serve as a United States District Judge of the United States District Court for the District of Arizona.;4;OfficeHolder
136;Academia de Talentos is a Portuguese online newspaper dedicated to youth-level football.;13;WrittenWork
137;Dr. Juan G. Nolasco High School is one of the schools in Manila City.;1;EducationalInstitution
138;The Slingsbt T.37 Skylark 1 was a sport sailplane of moderate dimensions built during 1952-3 at Kirbymoorside Yorkshire by Slingsby Sailplanes;5;MeanOfTransportation
139;Johanna (Hannie) van Leeuwen (born January 18 1926) is a Dutch politician of the Christian Democratic Appeal (CDA) party.;4;OfficeHolder
140;Dendrodoris is a genus of nudibranchs marine gastropod molluscs in the family Dendrodorididae.;9;Animal
141;Patelloida is a genus of sea snails or true limpets marine gastropod molluscs in the family Lottiidae one of the families of true limpets.(This genus name should not be confused with the similar-sounding true limpet superfamily Patelloidea which is also part of the Patellogastropoda.);9;Animal
142;Mellowosity is the debut recording by Scottish Celtic fusion group Peatbog Faeries released in 1996 on Greentrax Recordings.;11;Album
143;Fred Okengo Matiangi (born Borabu Nyamira District) is a Kenyan academic who was nominated by President Uhuru Kenyatta as Cabinet Secretary for Information Communication and Technology on 23 April 2013.;4;OfficeHolder
144;The Elders is the self-titled first album of the Celtic rock band from Kansas City Missouri.;11;Album
145;Undead Pool aka Attack Girls' Swim Team vs. The Undead is a 2007 Japanese erotic horror film.;12;Film
146;Lisa Grunwald Adler (born 1959) is an American author.;2;Artist
147;Los Matadores Del Genero is a compilation album from various artists released in 2003.;11;Album
148;Vittorio Feltri (born 25 June 1943) is an Italian journalist and editor in chief.;2;Artist
149;'Gympie' is a hybrid cultivar of the genus Tillandsia in the Bromeliad family.;10;Plant
150;Satwinder Kaur Dhaliwal (born June 17 1953) is a political and social worker and a Member of Parliament elected from the Ropar constituency in the Indian state of Punjab being a Shiromani Akali Dal candidate.;4;OfficeHolder
151;Tawfiq al-Suwaidi (1892 - October 15 1968) was an Iraqi politician who served as Prime Minister of Iraq on three occasions stretching from 1929 to 1950.;4;OfficeHolder
152;Old Trinity Church also known as Trinity Church Oxford is a historic Episcopal church founded around the turn of the 18th century in Oxford Township Pennsylvania which is now part of Philadelphia.;6;Building
153;The northern snapping turtle (Elseya dentata Gray 1867) is a large aquatic species found throughout many rivers in northern Western Australia and the Northern Territory.;9;Animal
154;The Gorutuba River is a river of Minas Gerais state in southeastern Brazil.;7;NaturalPlace
155;Today was a national newspaper in the United Kingdom and was published between 1986 and 1995.;13;WrittenWork
156;Palaechthona is a genus of moths of the Noctuidae family.;9;Animal
157;Agatrix is a genus of sea snails marine gastropod mollusks in the family Cancellariidae the nutmeg snails.;9;Animal
158;The Facts of Life Reunion is a 2001 made-for-television movie based on the 1979-1988 sitcom The Facts of Life reuniting original cast members Charlotte Rae Lisa Whelchel Mindy Cohn and Kim Fields thirteen years later.;12;Film
159;Dianthus nardiformis or Dianthus gelidus is a species of herbaceous perennial plant in the genus Dianthus.;10;Plant
160;Tolia Nikiprowetzky (12 or 25 September 1916 - 5 May 1997) was a French composer and musicologist of Russian birth.;2;Artist
161;Love The Love You Have is the first self-released EP by the band The Summer Set that was released on November 30 2007.;11;Album
162;Tiger Thompson is a 1924 American Western film featuring Harry Carey.;12;Film
163;William Ambrose Morehead (1805-1863) was a British civil servant of the Indian civil service who acted as the Governor of Madras for two terms in 1860 and 1860-61.;4;OfficeHolder
164;The Turton River is a perennial river of the West Gippsland catchment located in the Gippsland region of the Australian state of Victoria.;7;NaturalPlace
165;Home of Angels is a 1994 feature film written by James Oliva and Nicolas L. DePace and directed by Nick Stagliano.;12;Film
166;The Dove (1927) is an American silent film directed by Roland West and starring Norma Talmadge Noah Beery and Gilbert Roland and based on a 1925 Broadway play by Willard Mack.;12;Film
167;William Henry Furber was a Massachusetts politician who served as the second Mayor of Somerville Massachusetts.;4;OfficeHolder
168;The Dark is the second novel by Irish writer John McGahern published in 1965.;13;WrittenWork
169;In taxonomy Mantoniella is a genus of algae specifically of the Mamiellaceae.;10;Plant
170;The French 600 Series submarines were a series of submarine classes built for the French Navy (Marine Nationale) during the Inter war years.;5;MeanOfTransportation
171;Gentlemen of Nerve is a 1914 American comedy silent film directed by Charles Chaplin starring Chaplin and Mabel Normand and produced by Mack Sennett at Keystone Studios.;12;Film
172;Vladimir 'Vlado' Kasalo (born 11 November 1962) is a Croatian retired footballer who played as a central defender.;3;Athlete
173;Jeferson Antonio Alves Dupin (born October 19 1972) is a former Brazilian football player.;3;Athlete
174;A Perfect Ending is a 2012 LGBT film written and directed by Nicole Conn.;12;Film
175;Chamaesyce serpyllifolia (common name thymeleaf sandmat) is a plant found in the southwestern United States.;10;Plant
176;Shree Rayeshwar Institute of Engineering and Information Technology (SRIEIT) popularly known as RIT Shiroda or RIT is an All India Council for Technical Education (AICTE) approved private engineering school/institution affiliated to Goa University located in Shiroda Goa.;1;EducationalInstitution
177;Begonia coccinea is a species of plant in the Begoniaceae family.;10;Plant
178;Inherent Vice is a novel by Thomas Pynchon originally published in August 2009.;13;WrittenWork
179;All the Vermeers in New York is a 1990 American film written directed and produced by Jon Jost.;12;Film
180;Nebria exul is a species of ground beetle in the Nebriinae subfamily that is endemic to Algeria.;9;Animal
181;Mikhail Nikolayevich Spirin (born August 5 1990) is a Russian football midfielder who last played for FC Vityaz Podolsk of the Russian Second Division.;3;Athlete
182;Begum Anwar Ahmed was a Pakistani feminist who served as Chairman of the United Nations Commission on the Status of Women in 1958 and as the 6th President of the International Alliance of Women from 1964 to 1970.Her husband served as Pakistan's Ambassador to the United States.;4;OfficeHolder
183;Anthidium thomsoni is a species of bee in the family Megachilidae the leaf-cutter carder or mason bees.;9;Animal
184;Rosa acicularis also known as the prickly wild rose the prickly rose the bristly rose and the Arctic rose is a species of wild rose with a Holarctic distribution in northern regions of Asia Europe and North America.;10;Plant
185;The Periac River is a tributary of the Suciu River in Romania.;7;NaturalPlace
186;Brian Courtney Wilson is an American gospel and CCM singer.;2;Artist
187;The Dulcele River is a tributary of the Zimbru River in Romania.;7;NaturalPlace
188;Baptist Theological Seminary is a Baptist seminary located in Jagannaickpur Church Square Kakinada in East Godavari district of Andhra Pradesh India.;1;EducationalInstitution
189;Indian Railway Catering and Tourism Corporation is a subsidiary of the Indian Railways that handles the catering tourism and online ticketing operations of the railways.;0;Company
190;The Howard Miller Company is a Zeeland Michigan based manufacturer of longcase clocks and other home furnishings.;0;Company
191;Dogtown is a 1997 drama film by George Hickenlooper about life in the small Missouri town of Cuba Missouri starring Mary Stuart Masterson Jon Favreau Rory Cochrane Harold Russell and Natasha Gregson Wagner.;12;Film
192;Wyethia is a genus of flowering plants in the sunflower family commonly referred to as mule's ears.;10;Plant
193;Plainsburg Elementary Sch Dist is a public school district based in Merced County California United States.;1;EducationalInstitution
194;Back From The Dead is the debut EP album from Australian indie rock band Last Dinosaurs released 26 February 2010.;11;Album
195;Joshua Wayne Rabe (born October 15 1978) is a former Major League Baseball outfielder with the Minnesota Twins and current head baseball coach for Quincy University in Quincy Illinois.;3;Athlete
196;Austrophthiracarus is a genus of mites in the family Steganacaridae.;9;Animal
197;Sangre Latina (Spanish: Latin Blood) is the second album from Puerto Rican artist Chayanne released on RCA Records on 1986.;11;Album
198;Buddleja crispa 'Huimoon' (selling name Moon Dance) is an American cultivar introduced to commerce early in the 21st century.;10;Plant
199;The Model and the Marriage Broker is a 1951 comedy film about a model who is so pleased with the work of a marriage broker she decides to return the favor.;12;Film
200;Udhaar is 1949 Bollywood film directed by S.S. Kulkarni and starring Dev Anand Bharat Bhushan and Nirupa Roy.;12;Film
201;Mark Haskins (born 17 April 1981 in Johannesburg Gauteng) is a South African football (soccer) player who plays as midfielder for SuperSport United F.C. on loan from Bidvest Wits in the Premier Soccer League.;3;Athlete
202;Kayavoor is a village in the Pattukkottai taluk of Thanjavur district Tamil Nadu India.;8;Village
203;Cavanaghs Lake is a lake of Cape Breton Regional Municipality Nova Scotia Canada.;7;NaturalPlace
204;Brothers of the West is a 1937 American film directed by Sam Katzman.;12;Film
205;Spelthorne College was a sixth form college in Ashford Surrey England positioned on the High Street.;1;EducationalInstitution
206;Santeri Heiskanen (born April 13 1977) is a former Finnish professional ice hockey defenceman.;3;Athlete
207;Forever Yours is the seventh album by the Los Angeles California-based R&B group The Sylvers.;11;Album
208;Tigard High School is a public high school located in Tigard Oregon United States.;1;EducationalInstitution
209;Oncidium deltoideum is a species of orchid found from southern Ecuador to northern Peru.;10;Plant
210;Synthetic Metals is a peer-reviewed scientific journal covering electronic polymers and electronic molecular materials.;13;WrittenWork
211;The Best of Bucky and John Pizzarelli is a compilation album of song choices selected from the combined careers of Bucky Pizzarelli and John Pizzarelli from the 1990s released in 2006 by LRC Ltd.;11;Album
212;Creative Vibes is a record label that sources signs and releases local Australian acts.;0;Company
213;Susan Combs (born February 26 1945 in San Antonio) is a Republican politician from the U.S.;4;OfficeHolder
214;Abdul Mukti Ali (born in Cepu Blora Central Java Dutch East Indies August 23 1923 - died in Yogyakarta Indonesia May 5 2004 at the age of 80 years) is a former Ministry of Religious Affairs of the Republic of Indonesia in the Development Cabinet.;4;OfficeHolder
215;Shahbal is an unmanned aerial vehicle (UAV) designed by a group of aerospace engineers at Sharif University of Technology.;5;MeanOfTransportation
216;Wainivesi River is a river of Viti Levu Fiji.;7;NaturalPlace
217;HNLMS Stier was a Schorpioen-class monitor built in England for the Royal Netherlands Navy in the 1860s.;5;MeanOfTransportation
218;Okhali Mohlah is a village and one of the 51 Union Councils (administrative subdivisions) of Khushab District in the Punjab Province of Pakistan.;8;Village
219;The Nieuport-Delage NiD 42 was a fighter aircraft built in France in the early 1920s the first in a family of designs that would form the backbone of the French fighter force over the next decade.;5;MeanOfTransportation
220;Rainbow Bird and Monster Man is a 2002 Australian documentary film directed by Dennis K Smith telling the story of Tony Lock's childhood as a victim of sexual abuse and his attempts as an adult to escape his tortured past.;12;Film
221;Conversations is the second album from alternative rock band Roses Are Red.;11;Album
222;Waters is also the title of the official magazine of Vancouver AquariumWaters is a monthly controlled-circulation magazine specializing in the application of information technology in the capital markets and is one of four brands comprising WatersTechnology an online financial technology news portal.;13;WrittenWork
223;The Silencer is a 1999 action movie starring Michael Dudikoff as a professional assassin hired to train a young man who may not be all he seems.;12;Film
224;Saippuaprinsessa (Finnish: The Soap Princess) is a historical novel by Finnish author Kaari Utrio focusing on the frivolities of the high society in Helsinki the capital of Grand Duchy of Finland in the 1840s.;13;WrittenWork
225;John Lees was an English footballer who played for Derby County.;3;Athlete
226;The Forgotten Garden is a 2008 novel written by Australian author Kate Morton driven by the mystery of why a 4-year-old child is found abandoned on an Australian wharf in 1913.While paying homage to Frances Hodgson Burnett The Secret Garden and the Gothic novel Morton's second work explores living with and overcoming loss - of trust of identity or of loved ones - and was inspired by Morton's own family history.;13;WrittenWork
227;Complete Scoundrel: A Player's Guide to Trickery and Ingenuity is a supplemental rule book for the 3.5 edition of the Dungeons and Dragons role-playing game.;13;WrittenWork
228;Mark Turner (born November 10 1965) is an American jazz saxophonist.;2;Artist
229;Automatik Statik is the seventh studio album by American hip hop artist Del the Funky Homosapien released in September 2009 for an unfixed rate with a minimum of $3.;11;Album
230;Fortune 410 is the fourth album by American rock singer Donnie Iris released in 1983.;11;Album
231;Uzo is a Mobile Virtual Network Operator launched in 2005 in Portugal over the network TMN.;0;Company
232;Faraib is a 1983 Hindi-language Indian feature film directed by Rajat Rakshit starring Mithun Chakraborty Ranjeeta Kaur and Dr.Shreeram Lagoo.;12;Film
233;Pseudinodes is a genus of moths of the Noctuidae family.;9;Animal
234;Life Savers is a 1916 American silent comedy film featuring Oliver Hardy.;12;Film
235;Henry Percy Moulton was an American attorney who served as the United States Attorney for the District of Massachusetts from March 20 1901 until his death on December 4 1905.;4;OfficeHolder
236;The Opava (Czech: Opava Polish: Opawa German: Oppa) is a river in the north-eastern Czech Republic a left tributary of the Oder river.;7;NaturalPlace
237;Margarita Cabral de Melo 1570-1631 was a Portuguese noble lady who settled with her husband and sons in Buenos Aires.;4;OfficeHolder
238;The SZD-35 Bekas (Snipe) is a two seater glider aircraft that was designed and built in Poland.;5;MeanOfTransportation
239;Eiconaxius is a genus of mud lobster that includes the following species:;9;Animal
